time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-04 21:00:00+01:00";986;986.03833333333;986.1;0
"2021-01-04 22:00:00+01:00";985.4;985.61333333333;986;0
"2021-01-04 23:00:00+01:00";985;985.27666666667;985.4;0
"2021-01-05 00:00:00+01:00";984.5;984.82333333333;985.1;0
"2021-01-05 01:00:00+01:00";984.3;984.40833333333;984.5;0.066666666666667
"2021-01-05 02:00:00+01:00";983.7;984.03;984.3;0.31833333333333
"2021-01-05 03:00:00+01:00";983.1;983.42833333333;983.7;0.895
"2021-01-05 04:00:00+01:00";982.4;982.72666666667;983.1;0.775
"2021-01-05 05:00:00+01:00";982.2;982.27;982.4;0.745
"2021-01-05 06:00:00+01:00";981.9;982.04;982.2;0.305
"2021-01-05 07:00:00+01:00";981.6;981.77166666667;981.9;0.17666666666667
"2021-01-05 08:00:00+01:00";981.4;981.5;981.6;0.12333333333333
"2021-01-05 09:00:00+01:00";981.3;981.37333333333;981.4;0.061666666666667
"2021-01-05 10:00:00+01:00";980.8;981.085;981.3;0.088333333333333
"2021-01-05 11:00:00+01:00";980.6;980.70333333333;980.8;0.055
"2021-01-05 12:00:00+01:00";980.3;980.42833333333;980.6;0
"2021-01-05 13:00:00+01:00";980.3;980.52166666667;980.7;0
"2021-01-05 14:00:00+01:00";980.6;980.73166666667;980.8;0.01
"2021-01-05 15:00:00+01:00";980.8;981.21;981.5;0
"2021-01-05 16:00:00+01:00";981.5;981.595;981.7;0
"2021-01-05 17:00:00+01:00";981.7;981.87;982.2;0
"2021-01-05 18:00:00+01:00";982.1;982.27666666667;982.6;0
"2021-01-05 19:00:00+01:00";982.5;982.80833333333;983.1;0
"2021-01-05 20:00:00+01:00";983;983.24833333333;983.4;0
"2021-01-05 21:00:00+01:00";983.4;983.73;984;0
"2021-01-05 22:00:00+01:00";983.9;984.135;984.3;0
"2021-01-05 23:00:00+01:00";984;984.12666666667;984.2;0
"2021-01-06 00:00:00+01:00";984.1;984.45666666667;984.6;0
"2021-01-06 01:00:00+01:00";984.5;984.65166666667;984.8;0
